"","Instancia","N_Ant","T_Ant","N_BPI","T_BPI","N_FI","T_FI","N_KOPT","T_KOPT","N_MSG","T_MSG","N_NN","T_NN","N_FST","T_FST","N_FSTI","T_FSTI","N_FSTF","T_FSTF","N_FSTOPT","T_FSTOPT","N_ILS","T_ILS","N_ILSOPT","T_ILSOPT","Melhores Resultado"
"1","01/1.txt","88","0.000740682","79","0.000581578","86","0.000433326","77","0.1187993","79","0.003456098","83","0.000352644","78","0.05907014","75"," 8.627632","77","0.06232444","79","0.01357223","75","4.087470","75","0.6962012","0"
"2","01/2.txt","83","0.000706706","81","0.000543598","85","0.000371301","81","0.2312282","82","0.003480163","85","0.000359229","81","0.05427368","80"," 9.685019","81","0.05604621","81","0.01324102","80","4.398127","80","0.5990416","0"
"3","01/3.txt","85","0.000621984","79","0.000534502","83","0.000373728","77","0.1744690","74","0.003889144","81","0.000339365","76","0.04941824","74"," 7.280356","76","0.05135894","76","0.01332715","74","3.755434","74","0.7118014","0"
"4","01/4.txt","81","0.000610359","77","0.000552953","78","0.000358747","75","0.2540016","76","0.004011917","84","0.000320105","76","0.07460013","75"," 9.126142","75","0.06970802","75","0.01481201","75","4.630242","75","0.6346868","0"
"5","01/5.txt","88","0.000722623","85","0.000503773","87","0.000401969","84","0.1555614","84","0.003228435","89","0.000327076","84","0.06603295","83","11.844279","84","0.06853474","84","0.01288137","83","5.045492","83","0.5984295","0"
"6","01/6.txt","82","0.000684674","81","0.000517796","86","0.000347160","82","0.2256071","84","0.003448634","89","0.000316356","82","0.06317728","81","10.305434","81","0.06750801","82","0.01240153","81","4.653845","81","0.6628897","0"
"7","01/7.txt","74","0.000575900","73","0.000600024","76","0.000332579","72","0.1951413","72","0.003908965","79","0.000293345","71","0.05629223","71"," 7.781419","71","0.06153575","72","0.01236364","71","3.774770","71","0.7154708","0"
"8","01/8.txt","85","0.000657268","80","0.000518937","82","0.000336445","77","0.2922508","80","0.003403410","81","0.000307569","78","0.05723337","77"," 8.736199","78","0.06363011","79","0.01291036","77","4.064049","77","0.6960086","0"
"9","01/9.txt","77","0.000563838","73","0.000578070","75","0.000325819","71","0.1961108","73","0.003525936","77","0.000295695","72","0.04936880","71"," 6.599111","72","0.05185601","72","0.01373587","71","3.454688","71","0.7120020","0"
"10","01/10.txt","87","0.000685194","85","0.000503080","88","0.000348188","84","0.1646953","85","0.003240209","88","0.000317711","84","0.07421656","83","11.212681","84","0.07521862","86","0.01345279","83","5.377271","83","0.6114212","0"
