Number of Tool Switches: 11 

Time elapsed: 0.128587 
Tool Sequence:
     10J  3J  7J  9J  4J  2J  8J  5J  6J  1J
  1T   0   0   0   1   1   1   1   0   0   0
  2T   1   1   0   0   0   0   0   0   0   0
  3T   0   0   0   0   1   1   1   1   1   0
  4T   1   1   1   0   0   0   0   0   0   0
  5T   0   0   0   1   1   1   1   1   1   1
  6T   0   0   0   0   0   0   1   1   1   1
  7T   1   1   1   1   0   0   0   0   0   0
  8T   1   1   1   1   1   1   0   0   0   0
  9T   0   0   1   1   1   1   1   1   1   0
 10T   1   1   1   0   0   0   0   1   1   0
