"Instancia"	"N_FST"	"T_FST"	"N_FST"	"T_FST"	"Melhores Resultado"
"1"	"Instancias/C-1/s1n001.txt"	"11"	"0.000000000"	"11"	"0.000000000"	"0"
"2"	"Instancias/C-1/s1n001_1.txt"	"10"	"0.000615201"	"10"	"0.000615201"	"0"
"3"	"Instancias/C-1/s1n001_2.txt"	"10"	"0.000268249"	"10"	"0.000268249"	"0"
"4"	"Instancias/C-1/s1n001_3.txt"	"10"	"0.000281724"	"10"	"0.000281724"	"0"
"5"	"Instancias/C-1/s1n002.txt"	"16"	"0.000307296"	"16"	"0.000307296"	"0"
"6"	"Instancias/C-1/s1n002_1.txt"	"13"	"0.001359992"	"13"	"0.001359992"	"0"
"7"	"Instancias/C-1/s1n002_2.txt"	"11"	"0.001070747"	"11"	"0.001070747"	"0"
"8"	"Instancias/C-1/s1n002_3.txt"	"10"	"0.001176233"	"10"	"0.001176233"	"0"
"9"	"Instancias/C-1/s1n003.txt"	"14"	"0.000222513"	"14"	"0.000222513"	"0"
"10"	"Instancias/C-1/s1n003_1.txt"	"12"	"0.001136237"	"12"	"0.001136237"	"0"
"11"	"Instancias/C-1/s1n003_2.txt"	"10"	"0.000849645"	"10"	"0.000849645"	"0"
"12"	"Instancias/C-1/s1n003_3.txt"	"10"	"0.000220184"	"10"	"0.000220184"	"0"
"13"	"Instancias/C-1/s1n004.txt"	"13"	"0.000228431"	"13"	"0.000228431"	"0"
"14"	"Instancias/C-1/s1n004_1.txt"	"11"	"0.000524329"	"11"	"0.000524329"	"0"
"15"	"Instancias/C-1/s1n004_2.txt"	"10"	"0.001040544"	"10"	"0.001040544"	"0"
"16"	"Instancias/C-1/s1n004_3.txt"	"10"	"0.000266431"	"10"	"0.000266431"	"0"
"17"	"Instancias/C-1/s1n005.txt"	"12"	"0.000224901"	"12"	"0.000224901"	"0"
"18"	"Instancias/C-1/s1n005_1.txt"	"10"	"0.000599274"	"10"	"0.000599274"	"0"
"19"	"Instancias/C-1/s1n005_2.txt"	"10"	"0.000182109"	"10"	"0.000182109"	"0"
"20"	"Instancias/C-1/s1n005_3.txt"	"10"	"0.000202580"	"10"	"0.000202580"	"0"
"21"	"Instancias/C-1/s1n006.txt"	"13"	"0.000190224"	"13"	"0.000190224"	"0"
"22"	"Instancias/C-1/s1n006_1.txt"	"11"	"0.000523308"	"11"	"0.000523308"	"0"
"23"	"Instancias/C-1/s1n006_2.txt"	"10"	"0.000646127"	"10"	"0.000646127"	"0"
"24"	"Instancias/C-1/s1n006_3.txt"	"10"	"0.000202149"	"10"	"0.000202149"	"0"
"25"	"Instancias/C-1/s1n007.txt"	"12"	"0.000208020"	"12"	"0.000208020"	"0"
"26"	"Instancias/C-1/s1n007_1.txt"	"11"	"0.000387978"	"11"	"0.000387978"	"0"
"27"	"Instancias/C-1/s1n007_2.txt"	"10"	"0.000555474"	"10"	"0.000555474"	"0"
"28"	"Instancias/C-1/s1n007_3.txt"	"10"	"0.000180650"	"10"	"0.000180650"	"0"
"29"	"Instancias/C-1/s1n008.txt"	"16"	"0.000208163"	"16"	"0.000208163"	"0"
"30"	"Instancias/C-1/s1n008_1.txt"	"13"	"0.000722817"	"13"	"0.000722817"	"0"
"31"	"Instancias/C-1/s1n008_2.txt"	"12"	"0.000855358"	"12"	"0.000855358"	"0"
"32"	"Instancias/C-1/s1n008_3.txt"	"11"	"0.000941536"	"11"	"0.000941536"	"0"
"33"	"Instancias/C-1/s1n009.txt"	"12"	"0.000724455"	"12"	"0.000724455"	"0"
"34"	"Instancias/C-1/s1n009_1.txt"	"11"	"0.000647017"	"11"	"0.000647017"	"0"
"35"	"Instancias/C-1/s1n009_2.txt"	"10"	"0.000533635"	"10"	"0.000533635"	"0"
"36"	"Instancias/C-1/s1n009_3.txt"	"10"	"0.000239439"	"10"	"0.000239439"	"0"
"37"	"Instancias/C-1/s1n010.txt"	"13"	"0.000243494"	"13"	"0.000243494"	"0"
"38"	"Instancias/C-1/s1n010_1.txt"	"11"	"0.001251197"	"11"	"0.001251197"	"0"
"39"	"Instancias/C-1/s1n010_2.txt"	"10"	"0.000572035"	"10"	"0.000572035"	"0"
"40"	"Instancias/C-1/s1n010_3.txt"	"10"	"0.000211189"	"10"	"0.000211189"	"0"
