"","Instancia","N_FST","T_FST","N_FST","T_FST","Melhores Resultado"
"1","Instancias/C1/1.txt","118","0.00000000","118","0.00000000","103"
"2","Instancias/C1/2.txt","129","0.03034958","129","0.03034958","109"
"3","Instancias/C1/3.txt","112","0.02837499","112","0.02837499","100"
"4","Instancias/C1/4.txt","118","0.02846202","118","0.02846202"," 98"
"5","Instancias/C1/5.txt","115","0.02782140","115","0.02782140"," 97"
"6","Instancias/C1/6.txt","134","0.02972532","134","0.02972532","111"
"7","Instancias/C1/7.txt","125","0.02632091","125","0.02632091","104"
"8","Instancias/C1/8.txt","116","0.02837796","116","0.02837796","103"
"9","Instancias/C1/9.txt","125","0.02957769","125","0.02957769","106"
"10","Instancias/C1/10.txt","107","0.03130349","107","0.03130349"," 89"
