"","Instancia","N_FST","T_FST","N_FST","T_FST","Melhores Resultado"
"1","Instancias/D3/1.txt","180","0.0000000","180","0.0000000","152"
"2","Instancias/D3/2.txt","156","0.2207341","156","0.2207341","136"
"3","Instancias/D3/3.txt","183","0.2339330","183","0.2339330","157"
"4","Instancias/D3/4.txt","186","0.2124770","186","0.2124770","155"
"5","Instancias/D3/5.txt","172","0.2111779","172","0.2111779","147"
"6","Instancias/D3/6.txt","189","0.2106444","189","0.2106444","169"
"7","Instancias/D3/7.txt","181","0.2141777","181","0.2141777","151"
"8","Instancias/D3/8.txt","166","0.2078794","166","0.2078794","140"
"9","Instancias/D3/9.txt","178","0.2138327","178","0.2138327","154"
"10","Instancias/D3/10.txt","191","0.2160240","191","0.2160240","164"
