"","Instancia","N_FST","T_FST","N_FST","T_FST","Melhores Resultado"
"1","GrupoA/L1-1.txt","18","0.001102057","18","0.001102057","18"
"2","GrupoA/L1-2.txt","17","0.000880612","17","0.000880612","17"
"3","GrupoA/L1-3.txt","15","0.000354968","15","0.000354968","15"
"4","GrupoA/L1-4.txt","18","0.000961837","18","0.000961837","18"
"5","GrupoA/L1-5.txt","16","0.000669274","16","0.000669274","16"
"6","GrupoA/L1-6.txt","19","0.001513484","19","0.001513484","19"
"7","GrupoA/L1-7.txt","19","0.001255208","19","0.001255208","19"
"8","GrupoA/L1-8.txt","16","0.000954386","16","0.000954386","16"
"9","GrupoA/L1-9.txt","17","0.001223415","17","0.001223415","17"
"10","GrupoA/L1-10.txt","15","0.000336404","15","0.000336404","15"
"11","GrupoA/L2-1.txt","15","0.000411358","15","0.000411358","15"
"12","GrupoA/L2-2.txt","15","0.000416027","15","0.000416027","15"
"13","GrupoA/L2-3.txt","15","0.000487597","15","0.000487597","15"
"14","GrupoA/L2-4.txt","15","0.000428468","15","0.000428468","15"
"15","GrupoA/L2-5.txt","15","0.000443386","15","0.000443386","15"
"16","GrupoA/L2-6.txt","15","0.000437782","15","0.000437782","15"
"17","GrupoA/L2-7.txt","15","0.000478036","15","0.000478036","15"
"18","GrupoA/L2-8.txt","15","0.000489125","15","0.000489125","15"
"19","GrupoA/L2-9.txt","15","0.000430149","15","0.000430149","15"
"20","GrupoA/L2-10.txt","15","0.000418175","15","0.000418175","15"
"21","GrupoA/L3-1.txt","17","0.002446761","17","0.002446761","17"
"22","GrupoA/L3-2.txt","16","0.000991482","16","0.000991482","16"
"23","GrupoA/L3-3.txt","16","0.001292344","16","0.001292344","16"
"24","GrupoA/L3-4.txt","16","0.000965977","16","0.000965977","16"
"25","GrupoA/L3-5.txt","15","0.000455786","15","0.000455786","15"
"26","GrupoA/L3-6.txt","19","0.001733294","19","0.001733294","19"
"27","GrupoA/L3-7.txt","19","0.002575111","19","0.002575111","19"
"28","GrupoA/L3-8.txt","16","0.001822561","16","0.001822561","16"
"29","GrupoA/L3-9.txt","15","0.000477599","15","0.000477599","15"
"30","GrupoA/L3-10.txt","18","0.001973090","18","0.001973090","18"
"31","GrupoA/L4-1.txt","17","0.001497659","17","0.001497659","17"
"32","GrupoA/L4-2.txt","18","0.001641990","18","0.001641990","18"
"33","GrupoA/L4-3.txt","18","0.001811820","18","0.001811820","18"
"34","GrupoA/L4-4.txt","19","0.001791645","19","0.001791645","19"
"35","GrupoA/L4-5.txt","22","0.003208952","22","0.003208952","22"
"36","GrupoA/L4-6.txt","18","0.002074086","18","0.002074086","18"
"37","GrupoA/L4-7.txt","18","0.001894283","18","0.001894283","18"
"38","GrupoA/L4-8.txt","20","0.001922372","20","0.001922372","20"
"39","GrupoA/L4-9.txt","20","0.002769803","20","0.002769803","20"
"40","GrupoA/L4-10.txt","18","0.001976929","18","0.001976929","18"
"41","GrupoA/L5-1.txt","30","0.004083804","30","0.004083804","30"
"42","GrupoA/L5-2.txt","21","0.000983772","21","0.000983772","21"
"43","GrupoA/L5-3.txt","23","0.002637349","23","0.002637349","23"
"44","GrupoA/L5-4.txt","23","0.003375807","23","0.003375807","23"
"45","GrupoA/L5-5.txt","21","0.002455915","21","0.002455915","21"
"46","GrupoA/L5-6.txt","26","0.004789944","26","0.004789944","26"
"47","GrupoA/L5-7.txt","22","0.002921580","22","0.002921580","22"
"48","GrupoA/L5-8.txt","21","0.002262900","21","0.002262900","21"
"49","GrupoA/L5-9.txt","29","0.004254164","29","0.004254164","28"
"50","GrupoA/L5-10.txt","25","0.002689302","25","0.002689302","25"
"51","GrupoA/L6-1.txt","30","0.004014097","30","0.004014097","29"
"52","GrupoA/L6-2.txt","24","0.003782025","24","0.003782025","24"
"53","GrupoA/L6-3.txt","25","0.003634856","25","0.003634856","24"
"54","GrupoA/L6-4.txt","28","0.004942536","28","0.004942536","26"
"55","GrupoA/L6-5.txt","24","0.002555376","24","0.002555376","24"
"56","GrupoA/L6-6.txt","25","0.003331375","25","0.003331375","25"
"57","GrupoA/L6-7.txt","23","0.003989692","23","0.003989692","23"
"58","GrupoA/L6-8.txt","23","0.003476597","23","0.003476597","23"
"59","GrupoA/L6-9.txt","31","0.005661971","31","0.005661971","31"
"60","GrupoA/L6-10.txt","23","0.002157983","23","0.002157983","23"
"61","GrupoA/L7-1.txt","20","0.000681422","20","0.000681422","20"
"62","GrupoA/L7-2.txt","20","0.000678054","20","0.000678054","20"
"63","GrupoA/L7-3.txt","20","0.000687251","20","0.000687251","20"
"64","GrupoA/L7-4.txt","20","0.000777357","20","0.000777357","20"
"65","GrupoA/L7-5.txt","20","0.000722068","20","0.000722068","20"
"66","GrupoA/L7-6.txt","20","0.000738043","20","0.000738043","20"
"67","GrupoA/L7-7.txt","20","0.000767430","20","0.000767430","20"
"68","GrupoA/L7-8.txt","20","0.000816725","20","0.000816725","20"
"69","GrupoA/L7-9.txt","20","0.000839393","20","0.000839393","20"
"70","GrupoA/L7-10.txt","20","0.000819109","20","0.000819109","20"
"71","GrupoA/L8-1.txt","20","0.000781938","20","0.000781938","20"
"72","GrupoA/L8-2.txt","22","0.002171174","22","0.002171174","22"
"73","GrupoA/L8-3.txt","22","0.001741170","22","0.001741170","22"
"74","GrupoA/L8-4.txt","21","0.002007411","21","0.002007411","21"
"75","GrupoA/L8-5.txt","22","0.002187723","22","0.002187723","22"
"76","GrupoA/L8-6.txt","21","0.001848600","21","0.001848600","21"
"77","GrupoA/L8-7.txt","22","0.003079522","22","0.003079522","22"
"78","GrupoA/L8-8.txt","27","0.003236390","27","0.003236390","27"
"79","GrupoA/L8-9.txt","21","0.001711399","21","0.001711399","21"
"80","GrupoA/L8-10.txt","21","0.002860498","21","0.002860498","21"
"81","GrupoA/L9-1.txt","20","0.000847301","20","0.000847301","20"
"82","GrupoA/L9-2.txt","20","0.000896722","20","0.000896722","20"
"83","GrupoA/L9-3.txt","20","0.000719492","20","0.000719492","20"
"84","GrupoA/L9-4.txt","20","0.000748988","20","0.000748988","20"
"85","GrupoA/L9-5.txt","20","0.000692547","20","0.000692547","20"
"86","GrupoA/L9-6.txt","20","0.000686792","20","0.000686792","20"
"87","GrupoA/L9-7.txt","20","0.000848621","20","0.000848621","20"
"88","GrupoA/L9-8.txt","20","0.000670131","20","0.000670131","20"
"89","GrupoA/L9-9.txt","20","0.000814158","20","0.000814158","20"
"90","GrupoA/L9-10.txt","20","0.000793103","20","0.000793103","20"
"91","GrupoA/L10-1.txt","24","0.003606779","24","0.003606779","24"
"92","GrupoA/L10-2.txt","24","0.003241326","24","0.003241326","24"
"93","GrupoA/L10-3.txt","25","0.003962593","25","0.003962593","24"
"94","GrupoA/L10-4.txt","21","0.001248970","21","0.001248970","21"
"95","GrupoA/L10-5.txt","24","0.003604284","24","0.003604284","24"
"96","GrupoA/L10-6.txt","24","0.004074232","24","0.004074232","24"
"97","GrupoA/L10-7.txt","20","0.000848286","20","0.000848286","20"
"98","GrupoA/L10-8.txt","22","0.003701395","22","0.003701395","22"
"99","GrupoA/L10-9.txt","25","0.002969443","25","0.002969443","25"
"100","GrupoA/L10-10.txt","25","0.003568108","25","0.003568108","24"
