"BRKGA.CAP";"Run #1";"Run #2";"Run #3";"Run #4";"Run #5";"Mean";"W";"p-value"
"17";17;17;17;17;17;17;NA;NA
"16,83";16,83;16,83;16,83;16,83;16,83;16,83;NA;NA
"21,8";24;24,1;24,1;24,1;24,1;24,08;0,552181683086904;0,000130978175851881
"23,07";22,37;22,37;22,37;22,37;22,37;22,37;NA;NA
"22,08";25,87;25,87;25,87;25,87;25,87;25,87;NA;NA
"25,1";28,5;28,5;28,5;28,5;28,5;28,5;NA;NA
"28,2";29,73;29,73;29,77;29,73;29,77;29,746;0,684028895504471;0,00647000075166546
"27,95";25,67;25,67;25,67;25,67;25,67;25,67;NA;NA
"26,61";24,9;24,9;24,9;24,9;24,9;24,9;NA;NA
"208,64";214,87;214,97;215,01;214,97;215,01;214,966;0,803970305963482;0,087267962225196
