Number of Tool Switches: 30 

Time elapsed: 0.000102 
Tool Sequence:
      4J  6J  8J  1J  2J  3J  5J  7J
  1T   1   1   1   1   1   1   1   1
  2T   1   1   1   1   0   0   0   1
  3T   1   1   1   1   1   1   1   1
  4T   0   0   0   0   1   1   1   1
  5T   1   1   1   1   1   1   1   0
  6T   1   1   1   1   1   1   1   1
  7T   1   1   1   1   0   0   0   1
  8T   1   1   1   1   1   1   1   1
  9T   0   0   0   1   1   1   1   1
 10T   1   0   0   1   0   0   1   1
 11T   1   1   1   0   0   0   1   1
 12T   1   0   1   1   1   1   0   1
 13T   1   1   1   1   1   1   1   1
 14T   0   0   1   1   1   1   1   0
 15T   1   1   1   1   1   1   0   0
 16T   1   1   1   0   0   1   1   0
 17T   1   1   0   0   1   1   1   1
 18T   0   1   1   1   1   1   1   1
 19T   1   1   0   0   1   0   0   0
 20T   0   1   1   1   1   1   1   1
