Number of Tool Switches: 25 

Time elapsed: 0.001342 
Tool Sequence:
      2J  6J  1J  8J  5J  7J  3J  4J
  1T   1   1   1   1   1   1   1   1
  2T   0   0   0   0   0   0   1   1
  3T   1   1   1   1   1   0   0   0
  4T   1   1   1   1   1   1   1   1
  5T   1   1   0   0   0   0   0   0
  6T   1   1   1   1   1   0   0   0
  7T   1   1   1   1   1   1   1   1
  8T   1   1   1   1   1   1   1   1
  9T   1   1   1   1   1   1   1   1
 10T   1   1   1   1   1   1   1   1
 11T   1   1   1   1   1   1   1   1
 12T   1   1   1   1   1   1   1   1
 13T   1   1   1   1   0   0   0   0
 14T   1   1   1   1   1   1   1   1
 15T   0   0   0   0   0   1   0   0
 16T   1   1   1   1   1   1   1   1
 17T   1   1   1   1   1   1   1   1
 18T   0   0   0   0   0   1   1   1
 19T   1   1   1   1   1   1   1   1
 20T   1   1   1   1   1   1   1   1
 21T   1   1   1   1   1   1   1   1
 22T   0   0   1   1   1   1   1   1
 23T   0   0   0   0   1   1   1   1
 24T   1   1   1   1   1   1   1   1
 25T   1   1   1   1   1   1   1   1
