Number of Tool Switches: 25 

Time elapsed: 0.004369 
Tool Sequence:
      5J  1J  7J  4J  6J  3J  8J  2J
  1T   0   0   0   0   0   1   1   0
  2T   0   0   0   0   0   0   1   0
  3T   1   1   1   1   1   1   1   0
  4T   1   1   1   1   0   0   0   0
  5T   1   1   1   0   0   0   0   0
  6T   1   0   0   0   0   0   0   0
  7T   0   1   0   0   0   0   0   0
  8T   0   0   0   0   0   1   0   0
  9T   0   0   0   0   0   0   1   0
 10T   0   0   0   0   0   0   0   1
 11T   0   0   0   0   0   1   0   0
 12T   0   1   0   0   0   0   0   0
 13T   0   0   0   0   0   0   0   1
 14T   0   0   0   0   1   0   0   0
 15T   0   0   1   0   0   0   0   0
 16T   0   0   0   0   0   0   0   1
 17T   0   0   0   0   0   0   0   1
 18T   0   0   0   0   0   0   0   1
 19T   0   0   0   1   0   0   0   0
 20T   0   0   0   1   0   0   0   0
 21T   0   0   1   0   0   0   0   0
 22T   1   0   0   0   0   0   0   0
 23T   0   0   0   1   1   1   1   0
 24T   0   0   0   0   1   0   0   0
 25T   0   0   0   0   1   0   0   0
