Number of Tool Switches: 23 

Time elapsed: 0.011548 
Tool Sequence:
      1J  2J  4J  3J  5J  7J  6J  8J
  1T   1   1   1   1   1   1   0   0
  2T   0   0   0   0   0   1   1   1
  3T   0   0   1   1   1   1   1   1
  4T   1   1   1   1   0   0   0   0
  5T   1   1   1   1   1   1   1   1
  6T   0   0   0   0   0   0   1   1
  7T   0   0   0   0   0   0   0   1
  8T   0   0   1   1   1   1   1   1
  9T   1   1   1   1   1   0   0   0
 10T   1   1   0   0   1   1   0   0
 11T   1   1   1   1   1   1   1   1
 12T   0   0   0   0   0   0   1   1
 13T   1   1   0   1   1   1   1   1
 14T   1   1   1   0   0   0   0   0
 15T   0   0   0   0   0   0   1   0
 16T   0   0   1   1   1   0   0   0
 17T   1   1   0   1   1   1   0   0
 18T   0   0   0   0   0   1   1   0
 19T   0   0   0   0   0   0   0   1
 20T   1   1   1   0   0   0   0   0
