Number of Tool Switches: 21 

Time elapsed: 0.000542 
Tool Sequence:
      1J  3J  8J  5J  2J  7J  6J  4J
  1T   0   0   0   0   0   0   1   0
  2T   0   0   0   0   0   0   0   1
  3T   1   1   1   1   0   0   0   0
  4T   0   0   0   0   0   0   1   1
  5T   0   0   0   0   0   1   1   0
  6T   0   0   0   0   0   0   0   1
  7T   0   0   0   1   1   1   1   0
  8T   1   1   0   0   0   0   0   0
  9T   0   0   0   0   1   1   0   0
 10T   1   1   1   1   0   0   0   0
 11T   0   0   0   1   0   0   1   0
 12T   0   0   0   1   1   1   0   0
 13T   0   0   0   0   1   0   0   0
 14T   1   1   1   0   0   0   0   0
 15T   0   0   1   0   0   0   0   0
 16T   0   0   1   0   0   0   0   0
 17T   0   0   0   0   0   0   0   1
 18T   0   0   0   0   0   0   0   1
 19T   1   1   0   0   0   0   0   0
 20T   0   0   0   0   1   1   0   0
