"","Instancia","N_FST","T_FST","N_FST","T_FST","Melhores Resultado"
"1","GrupoB/L1-1.txt","17","0.001790668","17","0.001790668","17"
"2","GrupoB/L1-2.txt","18","0.002614990","18","0.002614990","18"
"3","GrupoB/L1-3.txt","18","0.003056646","18","0.003056646","18"
"4","GrupoB/L1-4.txt","18","0.002854817","18","0.002854817","18"
"5","GrupoB/L1-5.txt","15","0.000578717","15","0.000578717","15"
"6","GrupoB/L1-6.txt","19","0.002718968","19","0.002718968","19"
"7","GrupoB/L1-7.txt","17","0.004662039","17","0.004662039","17"
"8","GrupoB/L1-8.txt","17","0.002392333","17","0.002392333","17"
"9","GrupoB/L1-9.txt","16","0.001622694","16","0.001622694","16"
"10","GrupoB/L1-10.txt","17","0.003668781","17","0.003668781","17"
"11","GrupoB/L2-1.txt","15","0.001299061","15","0.001299061","15"
"12","GrupoB/L2-2.txt","15","0.000924400","15","0.000924400","15"
"13","GrupoB/L2-3.txt","15","0.000917436","15","0.000917436","15"
"14","GrupoB/L2-4.txt","15","0.000792594","15","0.000792594","15"
"15","GrupoB/L2-5.txt","15","0.000869163","15","0.000869163","15"
"16","GrupoB/L2-6.txt","15","0.000859481","15","0.000859481","15"
"17","GrupoB/L2-7.txt","15","0.000883207","15","0.000883207","15"
"18","GrupoB/L2-8.txt","15","0.000795893","15","0.000795893","15"
"19","GrupoB/L2-9.txt","15","0.000723810","15","0.000723810","15"
"20","GrupoB/L2-10.txt","15","0.000949113","15","0.000949113","15"
"21","GrupoB/L3-1.txt","15","0.000879503","15","0.000879503","15"
"22","GrupoB/L3-2.txt","21","0.006267251","21","0.006267251","21"
"23","GrupoB/L3-3.txt","15","0.001105500","15","0.001105500","15"
"24","GrupoB/L3-4.txt","16","0.002997371","16","0.002997371","16"
"25","GrupoB/L3-5.txt","15","0.001086698","15","0.001086698","15"
"26","GrupoB/L3-6.txt","18","0.005375567","18","0.005375567","18"
"27","GrupoB/L3-7.txt","18","0.003548592","18","0.003548592","18"
"28","GrupoB/L3-8.txt","24","0.008319784","24","0.008319784","24"
