Number of Tool Switches: 25 

Time elapsed: 0.002240 
Tool Sequence:
      3J  2J  6J  8J  9J  4J  1J  5J  7J
  1T   1   1   1   1   1   1   1   1   1
  2T   1   1   1   1   1   1   1   1   1
  3T   0   0   0   0   0   0   0   1   1
  4T   1   1   1   1   1   1   1   1   1
  5T   1   1   1   1   1   1   1   1   1
  6T   1   1   1   1   1   1   1   1   1
  7T   1   1   1   1   1   1   1   1   0
  8T   0   0   0   0   0   0   0   1   0
  9T   0   0   0   0   0   0   1   0   0
 10T   0   0   0   0   0   1   0   0   0
 11T   0   0   0   0   0   0   0   0   1
 12T   1   1   1   1   1   0   0   0   0
 13T   0   0   0   0   1   0   0   0   0
 14T   0   0   0   0   0   0   1   1   0
 15T   1   1   1   1   0   0   0   0   0
 16T   0   0   0   0   0   0   0   0   1
 17T   0   0   0   0   1   0   0   0   0
 18T   0   0   0   0   0   1   0   0   0
 19T   0   0   0   0   0   0   0   0   1
 20T   0   0   0   0   0   0   1   0   0
 21T   0   0   0   0   0   0   0   1   0
 22T   0   0   0   0   0   0   0   0   1
 23T   1   1   1   1   1   1   1   0   0
 24T   1   1   1   1   0   0   0   0   0
 25T   0   0   0   0   0   1   0   0   0
