Number of Tool Switches: 21 

Time elapsed: 0.008952 
Tool Sequence:
      3J  7J  6J  1J  5J  8J  2J  4J  9J
  1T   0   0   0   0   0   0   0   0   1
  2T   1   1   1   1   1   0   0   0   0
  3T   1   1   1   1   1   1   1   1   0
  4T   1   1   1   1   1   1   1   1   1
  5T   1   1   1   1   1   1   1   1   1
  6T   1   1   1   1   0   0   0   0   1
  7T   1   1   1   0   0   0   1   1   1
  8T   1   0   0   1   1   1   1   1   0
  9T   1   1   0   0   1   1   1   1   1
 10T   1   1   0   0   0   1   1   1   1
 11T   0   1   1   1   0   0   0   0   0
 12T   1   1   1   1   1   1   1   1   1
 13T   0   0   1   1   1   1   1   1   1
 14T   0   0   1   0   1   1   0   0   0
 15T   0   0   0   1   1   1   1   1   1
