Number of Tool Switches: 25 

Time elapsed: 0.002742 
Tool Sequence:
      8J  3J  5J  2J  9J  1J  7J  4J  6J
  1T   1   1   1   0   0   1   1   1   1
  2T   0   0   0   1   1   1   1   1   0
  3T   0   0   0   1   1   1   1   1   1
  4T   1   0   0   0   0   0   0   0   0
  5T   1   1   1   1   1   1   1   1   1
  6T   0   0   0   0   1   1   1   1   1
  7T   1   1   1   1   1   1   1   1   1
  8T   1   1   1   1   1   1   1   1   0
  9T   1   1   1   0   1   1   1   1   1
 10T   0   0   0   1   1   1   1   1   1
 11T   1   1   1   1   1   1   1   1   1
 12T   1   1   1   1   1   0   0   0   0
 13T   0   0   1   1   1   1   1   1   1
 14T   1   1   1   1   0   0   0   0   1
 15T   1   1   1   1   0   0   0   0   1
 16T   1   1   1   1   1   1   1   1   1
 17T   1   1   1   1   1   1   1   1   1
 18T   1   1   1   1   1   1   1   0   0
 19T   1   1   1   0   0   0   0   1   0
 20T   1   1   1   1   1   1   1   1   0
