Number of Tool Switches: 26 

Time elapsed: 0.560796 
Tool Sequence:
      4J  9J  6J  2J  8J  7J  1J  3J  5J
  1T   1   1   1   1   0   0   0   0   0
  2T   0   0   0   0   1   1   1   1   1
  3T   0   0   0   0   1   1   1   1   0
  4T   0   0   0   0   0   1   0   0   0
  5T   0   0   1   0   0   0   0   0   0
  6T   1   0   0   0   0   0   0   0   0
  7T   0   0   0   1   1   0   0   0   0
  8T   0   0   0   0   0   0   0   1   1
  9T   1   1   0   0   0   0   0   0   0
 10T   0   0   0   0   1   1   1   1   0
 11T   0   0   0   1   0   1   1   1   0
 12T   0   1   1   0   0   0   0   0   0
 13T   1   0   0   0   0   0   0   0   0
 14T   0   0   0   0   0   0   0   0   1
 15T   0   0   0   0   1   0   0   0   0
 16T   0   0   0   0   0   0   0   0   1
 17T   0   1   0   0   0   0   0   0   0
 18T   0   0   1   0   0   0   0   0   0
 19T   0   1   0   0   0   0   0   0   0
 20T   0   0   1   0   0   0   0   0   0
 21T   1   0   0   0   0   0   0   0   0
 22T   0   0   0   0   0   0   0   0   1
 23T   0   0   0   0   0   0   1   0   0
 24T   0   0   0   1   0   0   0   0   0
 25T   0   0   0   1   0   0   0   0   0
