Number of Tool Switches: 28 

Time elapsed: 0.066422 
Tool Sequence:
      4J  5J  9J  1J  7J  6J  3J  8J  2J
  1T   1   1   0   0   0   1   1   1   1
  2T   0   1   1   1   1   1   1   1   1
  3T   0   0   1   1   1   0   0   0   0
  4T   1   1   1   1   1   1   1   1   1
  5T   1   0   0   0   1   1   1   1   1
  6T   1   1   1   0   0   0   1   1   1
  7T   1   1   1   1   0   0   0   0   0
  8T   1   0   0   1   0   0   0   1   1
  9T   1   0   0   0   1   1   1   0   0
 10T   0   1   1   1   1   1   1   1   1
 11T   1   1   1   1   1   1   0   0   0
 12T   0   0   1   1   1   1   1   1   0
 13T   1   1   1   1   1   1   1   1   1
 14T   1   1   1   1   1   1   1   1   1
 15T   1   1   1   1   1   1   1   1   0
 16T   0   1   1   1   1   1   1   1   1
 17T   1   1   1   1   1   1   1   1   0
 18T   1   1   0   1   1   0   0   0   0
 19T   1   1   1   0   0   1   1   1   0
 20T   1   1   1   1   1   1   1   1   1
