Number of Tool Switches: 20 

Time elapsed: 0.124823 
Tool Sequence:
      1J  2J  3J  4J  5J  6J  7J  8J  9J
  1T   1   1   1   1   1   1   1   1   1
  2T   0   0   0   0   0   1   1   1   1
  3T   0   0   0   0   1   1   1   1   1
  4T   0   0   0   0   0   1   1   1   1
  5T   0   0   0   0   1   1   1   1   1
  6T   0   0   0   0   0   1   1   1   1
  7T   1   1   1   1   1   1   0   0   0
  8T   0   0   0   0   0   0   1   1   1
  9T   0   0   0   0   0   0   0   0   1
 10T   1   1   1   1   1   0   0   0   0
 11T   0   0   0   0   0   1   1   1   1
 12T   1   1   1   1   1   1   1   0   0
 13T   1   1   1   1   1   0   0   0   0
 14T   0   0   0   1   1   0   0   0   0
 15T   1   1   1   1   1   1   1   1   1
 16T   0   0   0   0   0   0   0   1   0
 17T   1   1   1   1   1   0   0   0   0
 18T   1   1   1   1   0   0   0   0   0
 19T   1   1   1   1   0   0   0   0   0
 20T   1   1   1   0   0   0   0   0   0
