Number of Tool Switches: 25 

Time elapsed: 0.001160 
Tool Sequence:
      7J  4J  6J  1J  3J  8J  9J  2J  5J
  1T   1   1   1   1   0   0   0   0   0
  2T   0   1   0   0   0   0   0   0   0
  3T   0   0   0   0   0   0   0   1   0
  4T   0   0   0   0   1   0   0   0   0
  5T   0   0   0   0   0   0   0   1   0
  6T   0   0   0   1   0   0   0   0   0
  7T   1   0   0   0   0   0   0   0   0
  8T   0   0   0   0   0   1   0   0   0
  9T   0   0   0   0   0   0   0   1   0
 10T   0   1   0   0   0   0   0   0   0
 11T   0   0   0   0   0   0   0   0   1
 12T   0   0   0   0   0   0   0   0   1
 13T   0   0   0   1   1   0   0   0   0
 14T   0   0   0   0   0   0   0   0   1
 15T   0   0   0   0   0   0   1   0   0
 16T   0   0   0   1   1   1   1   1   1
 17T   0   0   0   0   1   1   1   0   0
 18T   1   0   0   0   0   0   0   0   0
 19T   1   1   1   1   1   1   1   1   0
 20T   0   0   0   0   0   0   0   0   1
 21T   1   1   1   0   0   0   0   0   0
 22T   0   0   0   0   0   1   0   0   0
 23T   0   0   0   0   0   0   1   0   0
 24T   0   0   1   0   0   0   0   0   0
 25T   0   0   1   0   0   0   0   0   0
