"","Instancia","N_FST","T_FST","N_FST","T_FST","Melhores Resultado"
"1","GrupoC/L1-1.txt","21","0.007619596","21","0.007619596","20"
"2","GrupoC/L1-2.txt","20","0.006266783","20","0.006266783","20"
"3","GrupoC/L1-3.txt","21","0.005734448","21","0.005734448","20"
"4","GrupoC/L1-4.txt","21","0.005857071","21","0.005857071","20"
"5","GrupoC/L1-5.txt","23","0.005335185","23","0.005335185","23"
"6","GrupoC/L1-6.txt","30","0.007745468","30","0.007745468","29"
"7","GrupoC/L1-7.txt","19","0.005599221","19","0.005599221","19"
"8","GrupoC/L1-8.txt","24","0.007495927","24","0.007495927","23"
"9","GrupoC/L1-9.txt","22","0.005525547","22","0.005525547","21"
"10","GrupoC/L1-10.txt","21","0.004617603","21","0.004617603","21"
"11","GrupoC/L2-1.txt","15","0.001561871","15","0.001561871","15"
"12","GrupoC/L2-2.txt","15","0.001409099","15","0.001409099","15"
"13","GrupoC/L2-3.txt","15","0.001286609","15","0.001286609","15"
"14","GrupoC/L2-4.txt","15","0.001361354","15","0.001361354","15"
"15","GrupoC/L2-5.txt","15","0.001362367","15","0.001362367","15"
"16","GrupoC/L2-6.txt","15","0.001356696","15","0.001356696","15"
"17","GrupoC/L2-7.txt","15","0.001337174","15","0.001337174","15"
"18","GrupoC/L2-8.txt","15","0.001330666","15","0.001330666","15"
"19","GrupoC/L2-9.txt","15","0.001426452","15","0.001426452","15"
"20","GrupoC/L2-10.txt","15","0.001401026","15","0.001401026","15"
"21","GrupoC/L3-1.txt","17","0.005951766","17","0.005951766","17"
"22","GrupoC/L3-2.txt","25","0.011566296","25","0.011566296","24"
"23","GrupoC/L3-3.txt","16","0.003243900","16","0.003243900","16"
"24","GrupoC/L3-4.txt","18","0.006677121","18","0.006677121","18"
"25","GrupoC/L3-5.txt","18","0.006776678","18","0.006776678","18"
"26","GrupoC/L3-6.txt","22","0.012095817","22","0.012095817","22"
"27","GrupoC/L3-7.txt","20","0.011240764","20","0.011240764","20"
"28","GrupoC/L3-8.txt","28","0.016899044","28","0.016899044","27"
"29","GrupoC/L3-9.txt","16","0.005569588","16","0.005569588","16"
"30","GrupoC/L3-10.txt","18","0.008610560","18","0.008610560","18"
"31","GrupoC/L4-1.txt","20","0.009445004","20","0.009445004","20"
"32","GrupoC/L4-2.txt","27","0.010837590","27","0.010837590","26"
"33","GrupoC/L4-3.txt","26","0.013161621","26","0.013161621","25"
"34","GrupoC/L4-4.txt","23","0.011550200","23","0.011550200","22"
"35","GrupoC/L4-5.txt","26","0.011970969","26","0.011970969","25"
"36","GrupoC/L4-6.txt","31","0.012661752","31","0.012661752","29"
"37","GrupoC/L4-7.txt","24","0.013012179","24","0.013012179","24"
"38","GrupoC/L4-8.txt","25","0.009889567","25","0.009889567","25"
"39","GrupoC/L4-9.txt","29","0.014392302","29","0.014392302","27"
"40","GrupoC/L4-10.txt","25","0.012717498","25","0.012717498","25"
"41","GrupoC/L5-1.txt","24","0.006308491","24","0.006308491","22"
"42","GrupoC/L5-2.txt","25","0.005936185","25","0.005936185","24"
"43","GrupoC/L5-3.txt","26","0.007200160","26","0.007200160","25"
"44","GrupoC/L5-4.txt","30","0.007990114","30","0.007990114","29"
"45","GrupoC/L5-5.txt","26","0.006575339","26","0.006575339","25"
"46","GrupoC/L5-6.txt","24","0.005279746","24","0.005279746","24"
"47","GrupoC/L5-7.txt","27","0.006157605","27","0.006157605","27"
"48","GrupoC/L5-8.txt","27","0.007670353","27","0.007670353","26"
"49","GrupoC/L5-9.txt","28","0.005346640","28","0.005346640","27"
"50","GrupoC/L5-10.txt","29","0.006716824","29","0.006716824","27"
"51","GrupoC/L6-1.txt","20","0.002116243","20","0.002116243","20"
"52","GrupoC/L6-2.txt","20","0.002135510","20","0.002135510","20"
"53","GrupoC/L6-3.txt","20","0.001926444","20","0.001926444","20"
"54","GrupoC/L6-4.txt","20","0.001935312","20","0.001935312","20"
"55","GrupoC/L6-5.txt","20","0.001856405","20","0.001856405","20"
"56","GrupoC/L6-6.txt","20","0.001826325","20","0.001826325","20"
"57","GrupoC/L6-7.txt","20","0.001939736","20","0.001939736","20"
"58","GrupoC/L6-8.txt","19","0.001976114","19","0.001976114","19"
"59","GrupoC/L6-9.txt","20","0.001980072","20","0.001980072","20"
"60","GrupoC/L6-10.txt","20","0.001881894","20","0.001881894","20"
"61","GrupoC/L7-1.txt","31","0.018974458","31","0.018974458","30"
"62","GrupoC/L7-2.txt","34","0.025061242","34","0.025061242","33"
"63","GrupoC/L7-3.txt","26","0.014346119","26","0.014346119","26"
"64","GrupoC/L7-4.txt","32","0.017978439","32","0.017978439","31"
"65","GrupoC/L7-5.txt","25","0.014505396","25","0.014505396","25"
"66","GrupoC/L7-6.txt","31","0.015320021","31","0.015320021","30"
"67","GrupoC/L7-7.txt","37","0.019902733","37","0.019902733","37"
"68","GrupoC/L7-8.txt","34","0.017385840","34","0.017385840","34"
"69","GrupoC/L7-9.txt","28","0.026254162","28","0.026254162","27"
"70","GrupoC/L7-10.txt","25","0.013634015","25","0.013634015","25"
"71","GrupoC/L8-1.txt","38","0.019035857","38","0.019035857","38"
"72","GrupoC/L8-2.txt","39","0.022296975","39","0.022296975","38"
"73","GrupoC/L8-3.txt","35","0.024289324","35","0.024289324","34"
"74","GrupoC/L8-4.txt","35","0.016706185","35","0.016706185","34"
"75","GrupoC/L8-5.txt","33","0.024017730","33","0.024017730","32"
"76","GrupoC/L8-6.txt","37","0.026373499","37","0.026373499","35"
"77","GrupoC/L8-7.txt","37","0.030321898","37","0.030321898","37"
"78","GrupoC/L8-8.txt","37","0.019309656","37","0.019309656","35"
"79","GrupoC/L8-9.txt","38","0.026089178","38","0.026089178","36"
"80","GrupoC/L8-10.txt","37","0.027813003","37","0.027813003","36"
"81","GrupoC/L9-1.txt","20","0.002159720","20","0.002159720","20"
"82","GrupoC/L9-2.txt","20","0.002265950","20","0.002265950","20"
"83","GrupoC/L9-3.txt","20","0.002054761","20","0.002054761","20"
