"BRKGA.CAP";"Run #1";"Run #2";"Run #3";"Run #4";"Run #5";"Mean";"W";"p-value"
"21,6";21,6;21,6;21,6;21,6;21,6;21,6;NA;NA
"19,8";19,8;19,8;19,8;19,8;19,8;19,8;NA;NA
"25,6";25,6;25,6;25,6;25,6;25,6;25,6;NA;NA
"28,33";28,33;28,33;28,33;28,33;28,33;28,33;NA;NA
"25,52";25,52;25,52;25,52;25,52;25,52;25,52;NA;NA
"32,5";32,5;32,5;32,5;32,5;32,5;32,5;NA;NA
"35,07";35,07;35,07;35,07;35,07;35,07;35,07;NA;NA
"34,07";34,07;34,07;34,07;34,07;34,07;34,07;NA;NA
"29,66";29,66;29,66;29,66;29,66;29,66;29,66;NA;NA
"252,15";252,15;252,15;252,15;252,15;252,15;252,15;NA;NA
