instancias, trocas
L1-1,26
L1-2,23
L1-3,28
L1-4,24
L1-5,27
L1-6,37
L1-7,22
L1-8,27
L1-9,24
L1-10,24
L2-1,15
L2-2,16
L2-3,15
L2-4,16
L2-5,15
L2-6,16
L2-7,16
L2-8,15
L2-9,15
L2-10,15
L3-1,21
L3-2,23
L3-3,22
L3-4,21
L3-5,23
L3-6,19
L3-7,23
L3-8,19
L3-9,19
L3-10,20
L4-1,25
L4-2,27
L4-3,33
L4-4,25
L4-5,29
L4-6,29
L4-7,32
L4-8,32
L4-9,30
L4-10,32
L5-1,20
L5-2,20
L5-3,20
L5-4,20
L5-5,20
L5-6,21
L5-7,22
L5-8,22
L5-9,21
L5-10,20
L6-1,20
L6-2,20
L6-3,20
L6-4,20
L6-5,20
L6-6,20
L6-7,20
L6-8,20
L6-9,20
L6-10,20
L7-1,22
L7-2,21
L7-3,22
L7-4,21
L7-5,22
L7-6,23
L7-7,22
L7-8,22
L7-9,22
L7-10,22
L8-1,24
L8-2,23
L8-3,24
L8-4,23
L8-5,23
L8-6,23
L8-7,23
L8-8,23
L8-9,23
L8-10,22
L9-1,37
L9-2,38
L9-3,36
L9-4,35
L9-5,33
L9-6,37
L9-7,33
L9-8,29
L9-9,37
L9-10,39
L10-1,26
L10-2,26
L10-3,25
L10-4,25
L10-5,25
L10-6,26
L10-7,25
L10-8,25
L10-9,25
L10-10,26
L11-1,25
L11-2,25
L11-3,25
L11-4,25
L11-5,25
L11-6,25
L11-7,25
L11-8,25
L11-9,25
L11-10,25
L12-1,27
L12-2,29
L12-3,28
L12-4,27
L12-5,30
L12-6,30
L12-7,28
L12-8,28
L12-9,29
L12-10,28
L13-1,32
L13-2,30
L13-3,28
L13-4,33
L13-5,30
L13-6,31
L13-7,30
L13-8,31
L13-9,32
L13-10,31
L14-1,64
L14-2,69
L14-3,62
L14-4,57
L14-5,55
L14-6,63
L14-7,56
L14-8,72
L14-9,63
L14-10,54
L15-1,25
L15-2,25
L15-3,25
L15-4,25
L15-5,25
L15-6,25
L15-7,25
L15-8,25
L15-9,25
L15-10,25
L16-1,25
L16-2,25
L16-3,25
L16-4,25
L16-5,25
L16-6,25
L16-7,25
L16-8,25
L16-9,25
L16-10,25
L17-1,25
L17-2,26
L17-3,25
L17-4,25
L17-5,27
L17-6,25
L17-7,25
L17-8,27
L17-9,25
L17-10,27
L18-1,29
L18-2,29
L18-3,30
L18-4,29
L18-5,29
L18-6,29
L18-7,29
L18-8,28
L18-9,28
L18-10,30
L19-1,17
L19-2,16
L19-3,15
L19-4,16
L19-5,15
L19-6,16
L19-7,16
L19-8,16
L19-9,16
L19-10,16
L20-1,22
L20-2,22
L20-3,22
L20-4,21
L20-5,21
L20-6,22
L20-7,21
L20-8,22
L20-9,23
L20-10,20
L21-1,23
L21-2,23
L21-3,23
L21-4,22
L21-5,24
L21-6,21
L21-7,23
L21-8,22
L21-9,22
L21-10,23
L22-1,25
L22-2,27
L22-3,27
L22-4,25
L22-5,27
L22-6,25
L22-7,27
L22-8,29
L22-9,28
L22-10,26
L23-1,25
L23-2,25
L23-3,25
L23-4,25
L23-5,25
L23-6,25
L23-7,25
L23-8,25
L23-9,25
L23-10,25
L24-1,25
L24-2,25
L24-3,25
L24-4,25
L24-5,25
L24-6,25
L24-7,25
L24-8,25
L24-9,25
L24-10,25
L25-1,25
L25-2,26
L25-3,25
L25-4,25
L25-5,25
L25-6,25
L25-7,25
L25-8,25
L25-9,25
L25-10,25
L26-1,27
L26-2,28
L26-3,27
L26-4,25
L26-5,27
L26-6,25
L26-7,26
L26-8,26
L26-9,27
L26-10,26
