"Instancia"	"N_FST"	"T_FST"	"N_FST"	"T_FST"	"Melhores Resultado"
"1"	"GrupoD/L1-1.txt"	"27"	"0.016857776"	"27"	"0.016857776"	"26"
"2"	"GrupoD/L1-2.txt"	"23"	"0.015266182"	"23"	"0.015266182"	"23"
"3"	"GrupoD/L1-3.txt"	"29"	"0.014231489"	"29"	"0.014231489"	"28"
"4"	"GrupoD/L1-4.txt"	"24"	"0.014709903"	"24"	"0.014709903"	"24"
"5"	"GrupoD/L1-5.txt"	"27"	"0.014168250"	"27"	"0.014168250"	"27"
"6"	"GrupoD/L1-6.txt"	"39"	"0.017965868"	"39"	"0.017965868"	"37"
"7"	"GrupoD/L1-7.txt"	"23"	"0.014308495"	"23"	"0.014308495"	"22"
"8"	"GrupoD/L1-8.txt"	"29"	"0.014770629"	"29"	"0.014770629"	"27"
"9"	"GrupoD/L1-9.txt"	"25"	"0.009865036"	"25"	"0.009865036"	"24"
"10"	"GrupoD/L1-10.txt"	"24"	"0.011429356"	"24"	"0.011429356"	"24"
"11"	"GrupoD/L2-1.txt"	"16"	"0.004253915"	"16"	"0.004253915"	"15"
"12"	"GrupoD/L2-2.txt"	"16"	"0.007323032"	"16"	"0.007323032"	"16"
"13"	"GrupoD/L2-3.txt"	"15"	"0.002285740"	"15"	"0.002285740"	"15"
"14"	"GrupoD/L2-4.txt"	"16"	"0.003820150"	"16"	"0.003820150"	"16"
"15"	"GrupoD/L2-5.txt"	"15"	"0.002516597"	"15"	"0.002516597"	"15"
"16"	"GrupoD/L2-6.txt"	"16"	"0.004191245"	"16"	"0.004191245"	"16"
"17"	"GrupoD/L2-7.txt"	"16"	"0.005215295"	"16"	"0.005215295"	"16"
"18"	"GrupoD/L2-8.txt"	"15"	"0.002522403"	"15"	"0.002522403"	"15"
"19"	"GrupoD/L2-9.txt"	"16"	"0.010942577"	"16"	"0.010942577"	"15"
"20"	"GrupoD/L2-10.txt"	"15"	"0.002321293"	"15"	"0.002321293"	"15"
"21"	"GrupoD/L3-1.txt"	"21"	"0.019729337"	"21"	"0.019729337"	"21"
"22"	"GrupoD/L3-2.txt"	"23"	"0.021491397"	"23"	"0.021491397"	"23"
"23"	"GrupoD/L3-3.txt"	"24"	"0.024087920"	"24"	"0.024087920"	"22"
"24"	"GrupoD/L3-4.txt"	"22"	"0.019210631"	"22"	"0.019210631"	"21"
"25"	"GrupoD/L3-5.txt"	"24"	"0.025067526"	"24"	"0.025067526"	"23"
"26"	"GrupoD/L3-6.txt"	"19"	"0.013916877"	"19"	"0.013916877"	"19"
"27"	"GrupoD/L3-7.txt"	"24"	"0.022485066"	"24"	"0.022485066"	"23"
"28"	"GrupoD/L3-8.txt"	"20"	"0.015041492"	"20"	"0.015041492"	"19"
"29"	"GrupoD/L3-9.txt"	"20"	"0.018254698"	"20"	"0.018254698"	"19"
"30"	"GrupoD/L3-10.txt"	"21"	"0.015312721"	"21"	"0.015312721"	"20"
"31"	"GrupoD/L4-1.txt"	"26"	"0.012374999"	"26"	"0.012374999"	"25"
"32"	"GrupoD/L4-2.txt"	"28"	"0.014773162"	"28"	"0.014773162"	"27"
"33"	"GrupoD/L4-3.txt"	"35"	"0.014076620"	"35"	"0.014076620"	"33"
"34"	"GrupoD/L4-4.txt"	"25"	"0.011837327"	"25"	"0.011837327"	"25"
"35"	"GrupoD/L4-5.txt"	"31"	"0.012380209"	"31"	"0.012380209"	"29"
"36"	"GrupoD/L4-6.txt"	"29"	"0.010048554"	"29"	"0.010048554"	"29"
"37"	"GrupoD/L4-7.txt"	"34"	"0.010991693"	"34"	"0.010991693"	"32"
"38"	"GrupoD/L4-8.txt"	"32"	"0.014666659"	"32"	"0.014666659"	"32"
"39"	"GrupoD/L4-9.txt"	"30"	"0.011855712"	"30"	"0.011855712"	"30"
"40"	"GrupoD/L4-10.txt"	"33"	"0.012522452"	"33"	"0.012522452"	"32"
"41"	"GrupoD/L5-1.txt"	"20"	"0.003331109"	"20"	"0.003331109"	"20"
"42"	"GrupoD/L5-2.txt"	"20"	"0.003143948"	"20"	"0.003143948"	"20"
"43"	"GrupoD/L5-3.txt"	"20"	"0.003322949"	"20"	"0.003322949"	"20"
"44"	"GrupoD/L5-4.txt"	"21"	"0.007247080"	"21"	"0.007247080"	"20"
"45"	"GrupoD/L5-5.txt"	"20"	"0.003471181"	"20"	"0.003471181"	"20"
"46"	"GrupoD/L5-6.txt"	"21"	"0.006333757"	"21"	"0.006333757"	"21"
"47"	"GrupoD/L5-7.txt"	"23"	"0.017018147"	"23"	"0.017018147"	"22"
"48"	"GrupoD/L5-8.txt"	"23"	"0.017693594"	"23"	"0.017693594"	"22"
"49"	"GrupoD/L5-9.txt"	"22"	"0.017031250"	"22"	"0.017031250"	"21"
"50"	"GrupoD/L5-10.txt"	"21"	"0.010718634"	"21"	"0.010718634"	"20"
"51"	"GrupoD/L6-1.txt"	"20"	"0.005174453"	"20"	"0.005174453"	"20"
"52"	"GrupoD/L6-2.txt"	"20"	"0.003823800"	"20"	"0.003823800"	"20"
"53"	"GrupoD/L6-3.txt"	"20"	"0.003847991"	"20"	"0.003847991"	"20"
"54"	"GrupoD/L6-4.txt"	"20"	"0.003871432"	"20"	"0.003871432"	"20"
"55"	"GrupoD/L6-5.txt"	"20"	"0.003719614"	"20"	"0.003719614"	"20"
"56"	"GrupoD/L6-6.txt"	"20"	"0.004231781"	"20"	"0.004231781"	"20"
"57"	"GrupoD/L6-7.txt"	"20"	"0.003888494"	"20"	"0.003888494"	"20"
"58"	"GrupoD/L6-8.txt"	"20"	"0.004073950"	"20"	"0.004073950"	"20"
"59"	"GrupoD/L6-9.txt"	"20"	"0.003819793"	"20"	"0.003819793"	"20"
"60"	"GrupoD/L6-10.txt"	"20"	"0.003836106"	"20"	"0.003836106"	"20"
"61"	"GrupoD/L7-1.txt"	"22"	"0.010393144"	"22"	"0.010393144"	"22"
"62"	"GrupoD/L7-2.txt"	"22"	"0.011301300"	"22"	"0.011301300"	"21"
"63"	"GrupoD/L7-3.txt"	"22"	"0.010825578"	"22"	"0.010825578"	"22"
"64"	"GrupoD/L7-4.txt"	"21"	"0.007604188"	"21"	"0.007604188"	"21"
"65"	"GrupoD/L7-5.txt"	"23"	"0.017347400"	"23"	"0.017347400"	"22"
"66"	"GrupoD/L7-6.txt"	"23"	"0.016679757"	"23"	"0.016679757"	"23"
"67"	"GrupoD/L7-7.txt"	"22"	"0.023171977"	"22"	"0.023171977"	"22"
"68"	"GrupoD/L7-8.txt"	"23"	"0.026780655"	"23"	"0.026780655"	"22"
"69"	"GrupoD/L7-9.txt"	"22"	"0.018049688"	"22"	"0.018049688"	"22"
"70"	"GrupoD/L7-10.txt"	"22"	"0.018804944"	"22"	"0.018804944"	"22"
"71"	"GrupoD/L8-1.txt"	"24"	"0.020004692"	"24"	"0.020004692"	"24"
"72"	"GrupoD/L8-2.txt"	"23"	"0.023475203"	"23"	"0.023475203"	"23"
"73"	"GrupoD/L8-3.txt"	"25"	"0.024699173"	"25"	"0.024699173"	"24"
"74"	"GrupoD/L8-4.txt"	"23"	"0.015811961"	"23"	"0.015811961"	"23"
"75"	"GrupoD/L8-5.txt"	"25"	"0.024674827"	"25"	"0.024674827"	"23"
"76"	"GrupoD/L8-6.txt"	"24"	"0.018978036"	"24"	"0.018978036"	"23"
"77"	"GrupoD/L8-7.txt"	"23"	"0.017804464"	"23"	"0.017804464"	"23"
"78"	"GrupoD/L8-8.txt"	"23"	"0.018243047"	"23"	"0.018243047"	"23"
"79"	"GrupoD/L8-9.txt"	"23"	"0.023184017"	"23"	"0.023184017"	"23"
"80"	"GrupoD/L8-10.txt"	"23"	"0.016183894"	"23"	"0.016183894"	"22"
"81"	"GrupoD/L9-1.txt"	"37"	"0.013161338"	"37"	"0.013161338"	"37"
"82"	"GrupoD/L9-2.txt"	"40"	"0.013522070"	"40"	"0.013522070"	"38"
"83"	"GrupoD/L9-3.txt"	"36"	"0.013599408"	"36"	"0.013599408"	"36"
"84"	"GrupoD/L9-4.txt"	"36"	"0.013648585"	"36"	"0.013648585"	"35"
"85"	"GrupoD/L9-5.txt"	"33"	"0.011530584"	"33"	"0.011530584"	"33"
"86"	"GrupoD/L9-6.txt"	"37"	"0.011849368"	"37"	"0.011849368"	"37"
"87"	"GrupoD/L9-7.txt"	"33"	"0.012878191"	"33"	"0.012878191"	"33"
"88"	"GrupoD/L9-8.txt"	"31"	"0.019089385"	"31"	"0.019089385"	"29"
"89"	"GrupoD/L9-9.txt"	"37"	"0.012831369"	"37"	"0.012831369"	"37"
"90"	"GrupoD/L9-10.txt"	"40"	"0.014987831"	"40"	"0.014987831"	"39"
"91"	"GrupoD/L10-1.txt"	"26"	"0.012424021"	"26"	"0.012424021"	"26"
"92"	"GrupoD/L10-2.txt"	"27"	"0.014559790"	"27"	"0.014559790"	"26"
"93"	"GrupoD/L10-3.txt"	"26"	"0.013953747"	"26"	"0.013953747"	"25"
"94"	"GrupoD/L10-4.txt"	"25"	"0.004327119"	"25"	"0.004327119"	"25"
"95"	"GrupoD/L10-5.txt"	"25"	"0.004021880"	"25"	"0.004021880"	"25"
"96"	"GrupoD/L10-6.txt"	"27"	"0.018698021"	"27"	"0.018698021"	"26"
"97"	"GrupoD/L10-7.txt"	"25"	"0.006383883"	"25"	"0.006383883"	"25"
"98"	"GrupoD/L10-8.txt"	"25"	"0.004023440"	"25"	"0.004023440"	"25"
"99"	"GrupoD/L10-9.txt"	"26"	"0.015365610"	"26"	"0.015365610"	"25"
"100"	"GrupoD/L10-10.txt"	"26"	"0.017083525"	"26"	"0.017083525"	"26"
"101"	"GrupoD/L11-1.txt"	"25"	"0.005847325"	"25"	"0.005847325"	"25"
"102"	"GrupoD/L11-2.txt"	"25"	"0.005345367"	"25"	"0.005345367"	"25"
"103"	"GrupoD/L11-3.txt"	"25"	"0.005262118"	"25"	"0.005262118"	"25"
"104"	"GrupoD/L11-4.txt"	"25"	"0.005041155"	"25"	"0.005041155"	"25"
"105"	"GrupoD/L11-5.txt"	"25"	"0.005192921"	"25"	"0.005192921"	"25"
"106"	"GrupoD/L11-6.txt"	"25"	"0.005318682"	"25"	"0.005318682"	"25"
"107"	"GrupoD/L11-7.txt"	"25"	"0.005620454"	"25"	"0.005620454"	"25"
"108"	"GrupoD/L11-8.txt"	"25"	"0.005459665"	"25"	"0.005459665"	"25"
"109"	"GrupoD/L11-9.txt"	"25"	"0.005103419"	"25"	"0.005103419"	"25"
"110"	"GrupoD/L11-10.txt"	"25"	"0.005218929"	"25"	"0.005218929"	"25"
"111"	"GrupoD/L12-1.txt"	"28"	"0.025754587"	"28"	"0.025754587"	"27"
"112"	"GrupoD/L12-2.txt"	"30"	"0.036456325"	"30"	"0.036456325"	"29"
"113"	"GrupoD/L12-3.txt"	"28"	"0.031865526"	"28"	"0.031865526"	"28"
"114"	"GrupoD/L12-4.txt"	"27"	"0.022781174"	"27"	"0.022781174"	"27"
"115"	"GrupoD/L12-5.txt"	"31"	"0.063470617"	"31"	"0.063470617"	"30"
"116"	"GrupoD/L12-6.txt"	"30"	"0.038620383"	"30"	"0.038620383"	"30"
"117"	"GrupoD/L12-7.txt"	"28"	"0.067854670"	"28"	"0.067854670"	"28"
"118"	"GrupoD/L12-8.txt"	"28"	"0.023562191"	"28"	"0.023562191"	"28"
"119"	"GrupoD/L12-9.txt"	"29"	"0.039500061"	"29"	"0.039500061"	"29"
"120"	"GrupoD/L12-10.txt"	"28"	"0.023433455"	"28"	"0.023433455"	"28"
"121"	"GrupoD/L13-1.txt"	"35"	"0.045393306"	"35"	"0.045393306"	"32"
"122"	"GrupoD/L13-2.txt"	"30"	"0.033886867"	"30"	"0.033886867"	"30"
"123"	"GrupoD/L13-3.txt"	"28"	"0.027348764"	"28"	"0.027348764"	"28"
"124"	"GrupoD/L13-4.txt"	"34"	"0.061722939"	"34"	"0.061722939"	"33"
"125"	"GrupoD/L13-5.txt"	"31"	"0.042258922"	"31"	"0.042258922"	"30"
"126"	"GrupoD/L13-6.txt"	"32"	"0.043218276"	"32"	"0.043218276"	"31"
"127"	"GrupoD/L13-7.txt"	"30"	"0.041136856"	"30"	"0.041136856"	"30"
"128"	"GrupoD/L13-8.txt"	"31"	"0.050628144"	"31"	"0.050628144"	"31"
"129"	"GrupoD/L13-9.txt"	"33"	"0.074679568"	"33"	"0.074679568"	"32"
"130"	"GrupoD/L13-10.txt"	"33"	"0.047385731"	"33"	"0.047385731"	"31"
"131"	"GrupoD/L14-1.txt"	"67"	"0.087543597"	"67"	"0.087543597"	"64"
"132"	"GrupoD/L14-2.txt"	"70"	"0.096562246"	"70"	"0.096562246"	"69"
"133"	"GrupoD/L14-3.txt"	"62"	"0.089050298"	"62"	"0.089050298"	"62"
"134"	"GrupoD/L14-4.txt"	"59"	"0.080805917"	"59"	"0.080805917"	"57"
"135"	"GrupoD/L14-5.txt"	"58"	"0.077006753"	"58"	"0.077006753"	"55"
"136"	"GrupoD/L14-6.txt"	"65"	"0.083465377"	"65"	"0.083465377"	"63"
"137"	"GrupoD/L14-7.txt"	"57"	"0.072088707"	"57"	"0.072088707"	"56"
"138"	"GrupoD/L14-8.txt"	"75"	"0.102050067"	"75"	"0.102050067"	"72"
"139"	"GrupoD/L14-9.txt"	"65"	"0.083866134"	"65"	"0.083866134"	"63"
"140"	"GrupoD/L14-10.txt"	"54"	"0.102127153"	"54"	"0.102127153"	"54"
"141"	"GrupoD/L15-1.txt"	"25"	"0.006173533"	"25"	"0.006173533"	"25"
"142"	"GrupoD/L15-2.txt"	"25"	"0.006197673"	"25"	"0.006197673"	"25"
"143"	"GrupoD/L15-3.txt"	"25"	"0.006482621"	"25"	"0.006482621"	"25"
"144"	"GrupoD/L15-4.txt"	"25"	"0.006186317"	"25"	"0.006186317"	"25"
"145"	"GrupoD/L15-5.txt"	"25"	"0.006437031"	"25"	"0.006437031"	"25"
"146"	"GrupoD/L15-6.txt"	"25"	"0.006107639"	"25"	"0.006107639"	"25"
"147"	"GrupoD/L15-7.txt"	"25"	"0.005918814"	"25"	"0.005918814"	"25"
"148"	"GrupoD/L15-8.txt"	"25"	"0.006501185"	"25"	"0.006501185"	"25"
"149"	"GrupoD/L15-9.txt"	"25"	"0.006202378"	"25"	"0.006202378"	"25"
"150"	"GrupoD/L15-10.txt"	"25"	"0.006787183"	"25"	"0.006787183"	"25"
"151"	"GrupoD/L16-1.txt"	"25"	"0.006354079"	"25"	"0.006354079"	"25"
"152"	"GrupoD/L16-2.txt"	"25"	"0.006226362"	"25"	"0.006226362"	"25"
"153"	"GrupoD/L16-3.txt"	"25"	"0.006332210"	"25"	"0.006332210"	"25"
"154"	"GrupoD/L16-4.txt"	"25"	"0.007266377"	"25"	"0.007266377"	"25"
"155"	"GrupoD/L16-5.txt"	"25"	"0.006859860"	"25"	"0.006859860"	"25"
"156"	"GrupoD/L16-6.txt"	"25"	"0.006262416"	"25"	"0.006262416"	"25"
"157"	"GrupoD/L16-7.txt"	"25"	"0.006605658"	"25"	"0.006605658"	"25"
"158"	"GrupoD/L16-8.txt"	"26"	"0.013309912"	"26"	"0.013309912"	"25"
"159"	"GrupoD/L16-9.txt"	"25"	"0.006545053"	"25"	"0.006545053"	"25"
"160"	"GrupoD/L16-10.txt"	"25"	"0.007186285"	"25"	"0.007186285"	"25"
"161"	"GrupoD/L17-1.txt"	"25"	"0.010615410"	"25"	"0.010615410"	"25"
"162"	"GrupoD/L17-2.txt"	"27"	"0.018171404"	"27"	"0.018171404"	"26"
"163"	"GrupoD/L17-3.txt"	"25"	"0.006799063"	"25"	"0.006799063"	"25"
"164"	"GrupoD/L17-4.txt"	"25"	"0.006965255"	"25"	"0.006965255"	"25"
"165"	"GrupoD/L17-5.txt"	"27"	"0.029555724"	"27"	"0.029555724"	"27"
"166"	"GrupoD/L17-6.txt"	"26"	"0.011683342"	"26"	"0.011683342"	"25"
"167"	"GrupoD/L17-7.txt"	"26"	"0.020229367"	"26"	"0.020229367"	"25"
"168"	"GrupoD/L17-8.txt"	"27"	"0.028193116"	"27"	"0.028193116"	"27"
"169"	"GrupoD/L17-9.txt"	"26"	"0.010418463"	"26"	"0.010418463"	"25"
"170"	"GrupoD/L17-10.txt"	"27"	"0.028422491"	"27"	"0.028422491"	"27"
"171"	"GrupoD/L18-1.txt"	"30"	"0.035272540"	"30"	"0.035272540"	"29"
"172"	"GrupoD/L18-2.txt"	"30"	"0.032585421"	"30"	"0.032585421"	"29"
"173"	"GrupoD/L18-3.txt"	"31"	"0.038854641"	"31"	"0.038854641"	"30"
"174"	"GrupoD/L18-4.txt"	"29"	"0.051565607"	"29"	"0.051565607"	"29"
"175"	"GrupoD/L18-5.txt"	"29"	"0.025115196"	"29"	"0.025115196"	"29"
"176"	"GrupoD/L18-6.txt"	"31"	"0.034470689"	"31"	"0.034470689"	"29"
"177"	"GrupoD/L18-7.txt"	"30"	"0.040345912"	"30"	"0.040345912"	"29"
"178"	"GrupoD/L18-8.txt"	"28"	"0.022057833"	"28"	"0.022057833"	"28"
"179"	"GrupoD/L18-9.txt"	"29"	"0.032084340"	"29"	"0.032084340"	"28"
"180"	"GrupoD/L18-10.txt"	"30"	"0.039180844"	"30"	"0.039180844"	"30"
"181"	"GrupoD/L19-1.txt"	"17"	"0.016307248"	"17"	"0.016307248"	"17"
"182"	"GrupoD/L19-2.txt"	"16"	"0.007634084"	"16"	"0.007634084"	"16"
"183"	"GrupoD/L19-3.txt"	"15"	"0.004771843"	"15"	"0.004771843"	"15"
"184"	"GrupoD/L19-4.txt"	"16"	"0.007240520"	"16"	"0.007240520"	"16"
"185"	"GrupoD/L19-5.txt"	"15"	"0.004173097"	"15"	"0.004173097"	"15"
"186"	"GrupoD/L19-6.txt"	"17"	"0.012302631"	"17"	"0.012302631"	"16"
"187"	"GrupoD/L19-7.txt"	"16"	"0.008382759"	"16"	"0.008382759"	"16"
"188"	"GrupoD/L19-8.txt"	"16"	"0.006808089"	"16"	"0.006808089"	"16"
"189"	"GrupoD/L19-9.txt"	"17"	"0.018502635"	"17"	"0.018502635"	"16"
"190"	"GrupoD/L19-10.txt"	"16"	"0.008330489"	"16"	"0.008330489"	"16"
"191"	"GrupoD/L20-1.txt"	"22"	"0.027135042"	"22"	"0.027135042"	"22"
"192"	"GrupoD/L20-2.txt"	"23"	"0.037282497"	"23"	"0.037282497"	"22"
"193"	"GrupoD/L20-3.txt"	"22"	"0.020985281"	"22"	"0.020985281"	"22"
"194"	"GrupoD/L20-4.txt"	"21"	"0.015957691"	"21"	"0.015957691"	"21"
"195"	"GrupoD/L20-5.txt"	"22"	"0.021476449"	"22"	"0.021476449"	"21"
"196"	"GrupoD/L20-6.txt"	"22"	"0.020859896"	"22"	"0.020859896"	"22"
"197"	"GrupoD/L20-7.txt"	"22"	"0.017905355"	"22"	"0.017905355"	"21"
"198"	"GrupoD/L20-8.txt"	"24"	"0.031208995"	"24"	"0.031208995"	"22"
"199"	"GrupoD/L20-9.txt"	"24"	"0.031283068"	"24"	"0.031283068"	"23"
"200"	"GrupoD/L20-10.txt"	"20"	"0.005053436"	"20"	"0.005053436"	"20"
"201"	"GrupoD/L21-1.txt"	"23"	"0.054317446"	"23"	"0.054317446"	"23"
"202"	"GrupoD/L21-2.txt"	"23"	"0.024324113"	"23"	"0.024324113"	"23"
"203"	"GrupoD/L21-3.txt"	"23"	"0.034227527"	"23"	"0.034227527"	"23"
"204"	"GrupoD/L21-4.txt"	"22"	"0.035956244"	"22"	"0.035956244"	"22"
"205"	"GrupoD/L21-5.txt"	"25"	"0.044738222"	"25"	"0.044738222"	"24"
"206"	"GrupoD/L21-6.txt"	"21"	"0.018408137"	"21"	"0.018408137"	"21"
"207"	"GrupoD/L21-7.txt"	"24"	"0.042415159"	"24"	"0.042415159"	"23"
"208"	"GrupoD/L21-8.txt"	"22"	"0.019777431"	"22"	"0.019777431"	"22"
"209"	"GrupoD/L21-9.txt"	"23"	"0.027515347"	"23"	"0.027515347"	"22"
"210"	"GrupoD/L21-10.txt"	"23"	"0.031602836"	"23"	"0.031602836"	"23"
"211"	"GrupoD/L22-1.txt"	"27"	"0.024959740"	"27"	"0.024959740"	"25"
"212"	"GrupoD/L22-2.txt"	"28"	"0.040441251"	"28"	"0.040441251"	"27"
"213"	"GrupoD/L22-3.txt"	"28"	"0.030100698"	"28"	"0.030100698"	"27"
"214"	"GrupoD/L22-4.txt"	"26"	"0.015405311"	"26"	"0.015405311"	"25"
"215"	"GrupoD/L22-5.txt"	"28"	"0.024146158"	"28"	"0.024146158"	"27"
"216"	"GrupoD/L22-6.txt"	"25"	"0.007737911"	"25"	"0.007737911"	"25"
