"N_ILS_LS_PART_2OPT_1";"N_ILS_LS_PART_2OPT_2";"N_ILS_LS_PART_2OPT_3";"N_ILS_LS_PART_2OPT_4";"N_ILS_LS_PART_2OPT_5";"N_ILS_LS_PART_2OPT_6";"N_ILS_LS_PART_2OPT_7";"N_ILS_LS_PART_2OPT_8";"N_ILS_LS_PART_2OPT_9";"N_ILS_LS_PART_2OPT_10";"N_ILS_LS_PART_2OPT_11";"N_ILS_LS_PART_2OPT_12";"N_ILS_LS_PART_2OPT_13";"N_ILS_LS_PART_2OPT_14";"N_ILS_LS_PART_2OPT_15";"N_ILS_LS_PART_2OPT_16";"N_ILS_LS_PART_2OPT_17";"N_ILS_LS_PART_2OPT_18";"N_ILS_LS_PART_2OPT_19";"N_ILS_LS_PART_2OPT_20";"min";"mean";"sd"
7.2;16.1;14.2;12;9.6;8.2;19.4;13.1;9.7;8.4;5.4;8.7;9.8;8.2;10.8;9.1;11.7;14.2;9.7;4.1;4.1;10.48;3.62093329056707
9.95;6.35;7.55;3.9;16.45;4;8.85;10.4;11.1;8.05;10.65;6.55;8.55;7.7;14.65;3.5;12.75;11.25;9.9;10.85;3.5;9.1475;3.39928301263664
13.1;4.3;25.5;19.3;25.8;13.6;9.6;17.2;22;17.5;17.1;10.3;20.2;27.7;26.5;11.2;8.9;10.7;18;16;4.3;16.725;6.57906368318231
4.2;2.7;7.8;9.2;6.8;19.9;5.8;8.4;5.5;7.8;2;7.5;12.3;5.2;2.8;3;4.1;4;10.1;7.8;2;6.845;4.11639533163614
3.17;2.17;5.23;5.8;2.2;4.37;2.53;1.93;3.13;3.4;6;4.23;3.33;2.93;2.57;2.2;5.07;5.47;3.1;5.87;1.93;3.735;1.39302964036928
12.8;10.8;11.4;7;17.5;13;22.1;18.3;17.2;20.6;24.4;10.4;17.3;24;21;13.5;18;8.2;24;37;7;17.425;7.04824539569209
2.8;5.1;2.5;6.2;5.1;1.7;2.6;1.9;6.8;5.4;2;1.8;4;2.1;12.7;5.9;3.2;3.1;4.1;5.6;1.7;4.23;2.58662551965826
14.45;13.2;12.12;12.7;14.1;17.12;16.95;18.25;14.3;11.68;16.88;15.9;17.38;11.55;11.97;15.07;17.68;13.12;17.97;16.32;11.55;14.9355;2.30106033910685
3.95;4.25;1.92;5;2.83;2.35;4.25;2.6;2.58;2.33;2.98;5.22;4.35;5.1;2.98;3.78;4.05;3.4;6;3.68;1.92;3.68;1.11632856887397
2.3;1.3;2.6;1.7;5.1;2.6;2;3.4;2.9;2.4;1.7;2.6;1.9;6.1;6.7;2.1;7.5;5.1;2.3;3.1;1.3;3.27;1.80936162048503
30.1;13.3;16.1;27.9;10.1;27.8;12.7;34.7;15.8;12.4;11.5;8.5;17.6;20.9;28.7;16.3;17.6;20.8;18.3;6.3;6.3;18.37;7.8554104720384
3.3;3.4;3.3;4.4;2.8;3.7;6.2;1.7;3.3;2.9;2.4;2.8;5.5;2.2;2;4.1;4.5;2.8;6.1;6;1.7;3.67;1.38187515621652
52.2;11.5;16.5;23.1;28.3;23.6;7.8;34.1;34.3;17;45.1;19.1;18;18.5;9.8;10.8;26.5;16.5;23.4;20.7;7.8;22.84;11.4820867349743
1;1;1.2;1;1;1;1.1;1.2;1.1;1;1;1.1;1.1;1;1;1.1;1.1;1.1;1.1;1;1;1.06;0.0680557047378721
3.5;3.03;6;4.7;4.57;2.57;3.23;4.13;4.33;5.67;2.53;3.13;2.4;3.3;3.87;2.6;3.5;3.27;3.2;2.5;2.4;3.6015;1.02597463290689
