"N";"M";"Cap";"BRKGA.CAP";"N_ILS_LS_PART_2OPT_1";"N_ILS_LS_PART_2OPT_2";"N_ILS_LS_PART_2OPT_3";"N_ILS_LS_PART_2OPT_4";"N_ILS_LS_PART_2OPT_5";"N_ILS_LS_PART_2OPT_6";"N_ILS_LS_PART_2OPT_7";"N_ILS_LS_PART_2OPT_8";"N_ILS_LS_PART_2OPT_9";"N_ILS_LS_PART_2OPT_10";"N_ILS_LS_PART_2OPT_11";"N_ILS_LS_PART_2OPT_12";"N_ILS_LS_PART_2OPT_13";"N_ILS_LS_PART_2OPT_14";"N_ILS_LS_PART_2OPT_15";"N_ILS_LS_PART_2OPT_16";"N_ILS_LS_PART_2OPT_17";"N_ILS_LS_PART_2OPT_18";"N_ILS_LS_PART_2OPT_19";"N_ILS_LS_PART_2OPT_20"
20;15;5;"26,1";26,2;26;25,9;26,3;26,2;26;26;26,3;26,2;26;25,9;26,2;26,2;26,1;26,3;26,2;25,9;25,9;25,9;25,9
20;15;10;"18,2";18,25;18,3;18,35;18,3;18,2;18,3;18,25;18,3;18,3;18,25;18,3;18,35;18,35;18,3;18,3;18,3;18,2;18,2;18,2;18,2
20;20;5;"29,3";29,4;29,4;29,5;29,6;29,3;29,5;29,4;29,5;29,5;29,4;29,4;29,6;29,4;29,3;29,6;29,4;29,2;29,3;29,3;29,2
20;20;10;"20,6";20,6;20,8;20,6;20,6;20,6;20,7;20,6;20,7;20,7;20,7;20,6;20,6;20,6;20,6;20,6;20,8;20,6;20,6;20,6;20,6
20;20;15;"21,67";21,67;21,7;21,67;21,7;21,7;21,7;21,67;21,7;21,67;21,73;21,67;21,67;21,7;21,7;21,7;21,67;21,67;21,67;21,67;21,67
20;25;5;"35,1";35,5;35,5;35,3;35,5;35,4;35,3;35,4;35,3;35,4;35,5;35,4;35,5;35,4;35,3;35,6;35,4;35,1;35,1;35,2;35,1
20;25;10;"25,4";25,4;25,4;25,4;25,4;25,4;25,4;25,5;25,4;25,4;25,5;25,5;25,4;25,5;25,4;25,4;25,4;25,4;25,4;25,4;25,4
20;25;15;"36,25";36,5;36,4;36,48;36,45;36,4;36,48;36,5;36,33;36,5;36,52;36,48;36,45;36,38;36,45;36,45;36,52;36,25;36,25;36,27;36,3
20;25;20;"26,15";26,2;26,15;26,15;26,15;26,15;26,15;26,18;26,15;26,15;26,15;26,15;26,18;26,15;26,18;26,15;26,2;26,15;26,15;26,15;26,15
25;15;10;"15,9";15,9;16;15,9;15,9;15,9;15,9;15,9;15,9;15,9;15,9;15,9;15,9;16;15,9;15,9;15,9;15,9;15,9;15,9;15,9
25;20;10;"21,6";21,8;21,7;21,7;21,8;21,7;21,9;21,7;21,7;21,7;21,9;21,8;21,8;21,8;22;21,8;21,7;21,6;21,6;21,6;21,6
25;20;15;"22,6";22,6;22,6;22,6;22,6;22,6;22,6;22,6;22,7;22,6;22,6;22,6;22,6;22,6;22,6;22,6;22,7;22,6;22,6;22,6;22,6
25;25;10;"26,6";26,9;26,9;26,9;26,8;26,8;27;26,9;26,9;26,8;27;26,9;26,8;26,8;26,8;26,8;26,8;26,7;26,7;26,8;26,8
25;25;15;"25";25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25
25;25;20;"25,5";25,5;25,5;25,53;25,53;25,57;25,53;25,5;25,5;25,5;25,53;25,5;25,53;25,5;25,5;25,53;25,53;25,5;25,5;25,5;25,5
NA;NA;NA;"375,97";377,42;377,35;376,98;377,63;376,92;377,46;377,1;377,38;377,32;377,68;377,1;377,58;377,38;377,13;377,73;377,52;375,77;375,87;376,09;375,92
