"BRKGA.CAP";"Run #1";"Run #2";"Run #3";"Run #4";"Run #5";"Mean";"W";"p-value"
"26,1";25,9;25,9;25,9;25,9;25,9;25,9;NA;NA
"18,2";18,2;18,2;18,2;18,2;18,2;18,2;NA;NA
"29,3";29,2;29,3;29,2;29,3;29,3;29,26;0,684028895504471;0,00647000075166552
"20,6";20,6;20,6;20,6;20,6;20,6;20,6;NA;NA
"21,67";21,67;21,67;21,67;21,67;21,67;21,67;NA;NA
"35,1";35,2;35,3;35,2;35,1;35,1;35,18;0,881037638792608;0,314039557109444
"25,4";25,4;25,4;25,4;25,4;25,4;25,4;NA;NA
"36,25";36,27;36,25;36,27;36,27;36,25;36,262;0,684028895504471;0,00647000075166554
"26,15";26,15;26,15;26,15;26,15;26,15;26,15;NA;NA
"15,9";15,9;15,9;15,9;15,9;15,9;15,9;NA;NA
"21,6";21,6;21,6;21,6;21,7;21,6;21,62;0,552181683086904;0,000130978175851882
"22,6";22,6;22,6;22,6;22,6;22,6;22,6;NA;NA
"26,6";26,6;26,8;26,6;26,7;26,6;26,66;0,770907933943531;0,0459543180109917
"25";25;25;25;25;25;25;NA;NA
"25,5";25,5;25,5;25,5;25,5;25,5;25,5;NA;NA
"375,97";375,79;376,17;375,79;375,99;375,77;375,902;0,808291411736464;0,0945137912027311
