"","Instancia","N_FST","T_FST","N_FST","T_FST","Melhores Resultado"
"1","GrupoE/L1-1.txt","15","0.001732026","15","0.001732026","15"
"2","GrupoE/L1-2.txt","13","0.001438369","13","0.001438369","13"
"3","GrupoE/L1-3.txt","12","0.001249706","12","0.001249706","12"
"4","GrupoE/L1-4.txt","13","0.001171685","13","0.001171685","13"
"5","GrupoE/L1-5.txt","14","0.001427084","14","0.001427084","14"
"6","GrupoE/L1-6.txt","15","0.001058064","15","0.001058064","14"
"7","GrupoE/L1-7.txt","13","0.001681142","13","0.001681142","13"
"8","GrupoE/L1-8.txt","15","0.001172626","15","0.001172626","14"
"9","GrupoE/L1-9.txt","13","0.001469433","13","0.001469433","13"
"10","GrupoE/L1-10.txt","14","0.000938979","14","0.000938979","14"
"11","GrupoE/L2-1.txt","10","0.000338347","10","0.000338347","10"
"12","GrupoE/L2-2.txt","12","0.001271679","12","0.001271679","12"
"13","GrupoE/L2-3.txt","11","0.001145776","11","0.001145776","11"
"14","GrupoE/L2-4.txt","12","0.001326920","12","0.001326920","12"
"15","GrupoE/L2-5.txt","10","0.000311236","10","0.000311236","10"
"16","GrupoE/L2-6.txt","12","0.001113963","12","0.001113963","12"
"17","GrupoE/L2-7.txt","12","0.001663952","12","0.001663952","12"
"18","GrupoE/L2-8.txt","11","0.001124140","11","0.001124140","11"
"19","GrupoE/L2-9.txt","11","0.001523565","11","0.001523565","11"
"20","GrupoE/L2-10.txt","12","0.000839012","12","0.000839012","11"
"21","GrupoE/L3-1.txt","10","0.000478531","10","0.000478531","10"
"22","GrupoE/L3-2.txt","10","0.000313621","10","0.000313621","10"
"23","GrupoE/L3-3.txt","10","0.000320221","10","0.000320221","10"
"24","GrupoE/L3-4.txt","10","0.000326267","10","0.000326267","10"
"25","GrupoE/L3-5.txt","10","0.000332102","10","0.000332102","10"
"26","GrupoE/L3-6.txt","11","0.001209954","11","0.001209954","11"
"27","GrupoE/L3-7.txt","10","0.000312389","10","0.000312389","10"
"28","GrupoE/L3-8.txt","10","0.000311197","10","0.000311197","10"
"29","GrupoE/L3-9.txt","11","0.000723470","11","0.000723470","11"
"30","GrupoE/L3-10.txt","11","0.001742687","11","0.001742687","11"
"31","GrupoE/L4-1.txt","10","0.000344389","10","0.000344389","10"
"32","GrupoE/L4-2.txt","10","0.000320436","10","0.000320436","10"
"33","GrupoE/L4-3.txt","10","0.000329838","10","0.000329838","10"
