Number of Tool Switches: 14 

Time elapsed: 0.000389 
Tool Sequence:
     10J  2J  3J  7J  6J  4J  5J  1J  9J  8J
  1T   0   0   1   1   1   1   1   0   0   1
  2T   0   0   0   0   0   1   1   1   1   1
  3T   1   1   0   0   0   0   0   0   0   0
  4T   0   0   0   0   1   1   1   1   1   1
  5T   1   1   1   1   1   1   1   0   0   0
  6T   1   1   1   1   1   0   0   0   0   0
  7T   0   0   0   0   0   0   0   1   1   0
  8T   0   0   1   1   1   1   1   0   1   1
  9T   1   1   1   1   0   0   0   1   0   0
 10T   1   1   0   0   0   0   0   1   1   1
