Number of Tool Switches: 12 

Time elapsed: 0.001720 
Tool Sequence:
     10J  1J  2J  6J  9J  3J  5J  7J  4J  8J
  1T   0   0   0   0   0   1   1   1   1   1
  2T   1   1   1   1   1   1   0   0   0   0
  3T   1   1   1   1   1   1   1   1   1   1
  4T   1   1   1   1   1   1   1   1   1   1
  5T   0   0   0   0   1   0   0   0   0   1
  6T   0   0   0   0   0   0   0   0   0   1
  7T   0   0   0   0   1   1   1   1   0   0
  8T   1   1   1   1   0   0   0   0   0   0
  9T   0   0   0   0   0   0   1   1   1   0
 10T   1   1   1   1   0   0   0   0   1   0
