Number of Tool Switches: 13 

Time elapsed: 0.001396 
Tool Sequence:
     10J  4J  8J  2J  1J  6J  7J  5J  9J  3J
  1T   1   1   0   0   0   0   0   0   0   1
  2T   1   1   1   1   1   1   1   1   1   1
  3T   1   1   1   1   1   0   0   0   0   0
  4T   0   0   1   1   1   1   1   1   1   1
  5T   0   0   1   1   1   1   1   1   1   1
  6T   0   0   1   0   0   0   0   0   0   0
  7T   0   0   0   0   0   0   0   1   1   1
  8T   0   0   0   1   1   1   1   0   0   0
  9T   1   1   0   0   0   0   1   1   1   0
 10T   1   1   0   0   0   1   0   0   0   0
