Number of Tool Switches: 13 

Time elapsed: 0.000762 
Tool Sequence:
     10J  2J  7J  9J  1J  8J  5J  6J  3J  4J
  1T   1   1   1   1   1   1   1   1   1   1
  2T   0   0   0   0   1   1   1   1   1   1
  3T   1   1   1   1   0   0   0   0   1   1
  4T   1   1   1   1   1   1   1   1   0   0
  5T   0   0   0   1   1   1   0   0   0   1
  6T   1   1   1   1   1   1   1   1   0   0
  7T   0   0   0   0   0   0   0   0   1   1
  8T   1   1   1   0   0   0   0   0   0   1
  9T   0   0   0   0   0   0   1   1   1   0
 10T   1   1   1   1   1   1   1   1   1   0
