Number of Tool Switches: 14 

Time elapsed: 0.110354 
Tool Sequence:
     10J  2J  7J  8J  6J  3J  5J  1J  4J  9J
  1T   1   1   1   0   1   1   0   0   0   0
  2T   0   0   1   1   1   1   0   0   0   0
  3T   0   0   0   0   0   1   1   1   1   0
  4T   0   0   0   0   0   0   0   0   1   1
  5T   1   1   1   1   0   0   1   0   0   0
  6T   1   1   0   0   0   0   0   1   1   1
  7T   0   1   1   1   0   0   0   0   0   0
  8T   0   0   0   0   1   1   1   1   1   1
  9T   1   0   0   0   0   0   0   0   0   0
 10T   0   0   0   1   1   0   1   1   0   0
