Number of Tool Switches: 10 

Time elapsed: 0.053620 
Tool Sequence:
     10J  6J  4J  7J  1J  9J  5J  3J  2J  8J
  1T   1   1   1   1   1   1   1   0   0   0
  2T   1   1   1   1   1   1   1   1   1   0
  3T   0   0   0   0   1   1   0   0   0   0
  4T   1   1   1   1   1   1   1   1   1   0
  5T   1   1   1   1   1   1   1   1   1   1
  6T   1   1   1   1   0   0   0   0   0   0
  7T   1   1   1   1   0   0   0   0   0   0
  8T   0   0   0   0   0   1   1   0   0   0
  9T   0   0   0   0   1   1   1   1   1   1
 10T   1   1   1   0   0   0   0   0   0   0
