Number of Tool Switches: 14 

Time elapsed: 0.000824 
Tool Sequence:
     10J  2J  1J  8J  9J  5J  3J  6J  7J  4J
  1T   0   0   0   1   0   0   1   1   1   1
  2T   0   0   1   1   1   1   0   0   0   1
  3T   1   1   0   0   0   0   0   0   0   0
  4T   0   0   0   0   1   1   1   1   1   1
  5T   1   1   1   1   1   1   1   1   1   1
  6T   1   1   0   0   0   0   1   1   1   1
  7T   0   0   1   0   0   0   0   0   0   0
  8T   0   0   0   1   1   1   1   1   0   0
  9T   1   1   1   0   0   0   0   0   1   0
 10T   1   1   1   1   1   1   0   0   0   0
